id_cliente,pais,genero,idade,anos_cliente,saldo_conta,numero_produtos,cartao_credito,salario_estimado,saiu,escore_credito
15590146,França,Masculino,50,1,81947.76,1,Não,63606.22,1,630
15647890,França,Masculino,37,9,149405.18,1,Sim,146411.6,0,691
15619029,Espanha,Feminino,43,2,0,2,Sim,20670.1,0,620
15781298,Alemanha,Masculino,39,3,124216.93,1,Não,171442.36,0,808
15792107,Espanha,Feminino,35,8,0,1,Sim,165162.4,0,719
15679531,França,Masculino,34,5,134954.53,1,Sim,151954.39,0,618
15734202,Alemanha,Feminino,52,4,86891.84,1,Sim,90877.76,0,660
15680970,Alemanha,Feminino,41,2,114206.84,1,Sim,164061.6,0,611
15634844,Alemanha,Masculino,41,3,91536.93,1,Sim,191468.78,1,598
15617617,Espanha,Masculino,39,7,0,2,Sim,177519.39,0,811
15633194,França,Feminino,41,10,108309,4,Sim,137510.41,1,771
15566139,França,Feminino,37,5,53573.18,1,Sim,62830.97,0,526
15583681,Espanha,Masculino,31,7,76665.71,2,Sim,163809.08,0,616
15694805,Espanha,Masculino,35,1,115024.5,1,Não,169665.79,0,664
15718064,Espanha,Masculino,29,2,0,2,Não,117173.8,0,635
15812720,Alemanha,Masculino,37,10,130110.45,2,Não,172097.95,0,807
15614420,Alemanha,Feminino,32,0,109570.21,2,Sim,172049.84,0,531
15732199,Espanha,Masculino,31,9,104678.62,1,Não,50972.6,0,837
15640865,Alemanha,Feminino,31,9,80844.69,2,Sim,74641.9,0,636
15697000,Alemanha,Masculino,32,5,61825.5,1,Sim,156124.93,0,728
15607263,França,Masculino,55,3,0,1,Não,13288.46,1,788
15600708,Espanha,Feminino,34,3,77826.8,1,Sim,168544.85,0,640
15764153,França,Feminino,33,0,130499.09,2,Sim,74804.36,0,704
15592000,Alemanha,Feminino,48,9,82794.18,1,Sim,124720.68,1,781
15571869,Alemanha,Feminino,50,4,112650.89,1,Não,166386.22,1,669
15734674,França,Feminino,41,6,0,1,Sim,65170.66,0,593
15775761,Alemanha,Feminino,69,5,86038.21,3,Não,192743.06,1,610
15613292,França,Masculino,21,8,0,2,Sim,68666.63,0,715
15601387,França,Masculino,35,10,0,2,Sim,71594.26,0,721
15716781,França,Masculino,24,7,171922.72,1,Não,178028.96,0,815
15639530,Espanha,Masculino,42,2,0,1,Sim,168294.27,0,679
15649668,Alemanha,Feminino,36,10,145750.45,2,Sim,96660.76,0,637
15711572,Alemanha,Feminino,31,9,110941.93,2,Sim,163484.8,0,705
15686835,Alemanha,Feminino,57,9,148384.64,1,Não,155047.11,1,738
15643359,Espanha,Masculino,32,7,0,1,Não,79082.62,0,736
15801559,Alemanha,Feminino,41,9,181461.48,3,Sim,187929.43,1,693
15630551,França,Masculino,33,2,163139.27,1,Sim,7035.36,0,696
15811026,Alemanha,Masculino,43,5,136855.94,2,Sim,171070.52,0,505
15575679,França,Masculino,24,7,126431.54,1,Sim,58781.11,0,590
15693690,Espanha,Masculino,52,7,115532.52,1,Sim,196257.67,0,574
15601383,Espanha,Masculino,44,5,120654.68,1,Sim,82290.81,0,744
15601892,França,Masculino,33,8,0,2,Não,68815.05,0,563
15776494,França,Masculino,61,5,146622.35,1,Sim,41815.22,1,754
15632575,França,Feminino,70,9,0,1,Sim,122996.76,0,559
15587311,Espanha,Masculino,33,6,0,2,Não,72970.93,0,582
15656937,Espanha,Masculino,26,1,131643.25,1,Sim,64436.16,0,468
15646756,França,Feminino,33,8,74963.5,1,Sim,32770.56,0,682
15746902,Espanha,Masculino,38,9,0,2,Sim,88225.02,0,793
15797960,Alemanha,Feminino,59,0,135296.33,1,Sim,182822.5,0,806
15751177,Alemanha,Feminino,44,2,119657.53,1,Sim,145387.05,1,685
15710928,França,Feminino,55,8,136354.16,1,Sim,93769.89,0,665
15785490,França,Masculino,50,3,105229.72,1,Sim,16281.68,1,771
15656333,França,Feminino,33,3,134348.57,1,Sim,63163.99,0,574
15791780,Alemanha,Feminino,48,10,104478.12,3,Não,158248.71,1,706
15715031,França,Feminino,28,6,0,2,Não,52193.23,0,600
15778320,Alemanha,Feminino,40,5,148495.64,1,Não,158853.98,0,848
15776850,Espanha,Feminino,43,1,124209.02,1,Sim,167179.48,0,749
15730469,Espanha,Masculino,31,4,103430.11,2,Não,36479.27,0,663
15588928,França,Masculino,47,5,0,2,Sim,145338.61,0,704
15762708,Espanha,Feminino,38,10,119658.49,1,Sim,8646.58,0,619
15813871,França,Masculino,47,2,0,2,Sim,151375.73,0,690
15607827,Alemanha,Masculino,34,4,133467.77,2,Sim,42976.64,0,711
15677141,Espanha,Masculino,29,2,132450.24,1,Sim,36176.63,0,586
15574858,França,Masculino,37,8,0,2,Sim,287.99,0,530
15669219,Alemanha,Masculino,35,3,104356.38,1,Sim,94498.82,0,588
15740147,França,Feminino,44,10,0,1,Não,93777.61,0,725
15777907,França,Feminino,33,3,0,1,Sim,144413.92,1,791
15604804,França,Feminino,33,7,127305.5,1,Sim,120037.36,0,516
15616152,França,Feminino,47,1,185513.67,1,Sim,27438.83,0,754
15750181,Alemanha,Masculino,41,9,110112.54,2,Não,81898.81,0,553
